snapshot_id,hospital_id,snapshot_time,ed_beds_available,icu_beds_available,ct_available,cath_lab_available,trauma_bays_available,ventilators_available,isolation_beds_available,blood_o_units_available,nurse_team_available,crowding_index
RS0000034,H004,2025/11/2 00:00,4,0,1,0,0,2,2,15,1,0.651
RS0000035,H005,2025/11/2 00:00,10,3,1,0,3,3,2,18,1,0.883
RS0000036,H001,2025/11/2 04:00,18,5,0,1,3,2,2,12,0,0.485
RS0000037,H002,2025/11/2 04:00,5,2,1,1,1,2,2,22,1,0.96
RS0000038,H003,2025/11/2 04:00,10,3,1,0,1,2,2,19,1,0.599
RS0000039,H004,2025/11/2 04:00,2,0,1,0,0,3,2,23,1,0.783
RS0000040,H005,2025/11/2 04:00,17,0,1,1,1,8,1,22,1,0.476
RS0000041,H001,2025/11/2 08:00,9,8,1,1,2,4,3,16,1,0.788
RS0000042,H002,2025/11/2 08:00,5,4,1,1,0,6,3,25,1,0.779
RS0000043,H003,2025/11/2 08:00,1,6,1,0,1,2,2,9,1,0.941
RS0000044,H004,2025/11/2 08:00,10,2,0,0,0,1,3,9,1,0.51
RS0000045,H005,2025/11/2 08:00,9,2,1,1,2,2,6,21,1,0.89
RS0000046,H001,2025/11/2 12:00,14,6,1,1,0,4,4,9,1,0.702
RS0000047,H002,2025/11/2 12:00,9,5,1,0,2,4,1,12,0,0.646
RS0000048,H003,2025/11/2 12:00,15,0,1,0,0,2,3,10,1,0.503
RS0000049,H004,2025/11/2 12:00,2,0,1,0,0,0,1,14,1,0.866
RS0000050,H005,2025/11/2 12:00,13,8,1,1,1,3,2,4,1,0.649
RS0000051,H001,2025/11/2 16:00,11,6,1,1,0,5,3,8,1,0.675
RS0000052,H002,2025/11/2 16:00,2,1,1,1,0,1,5,16,1,0.961
RS0000053,H003,2025/11/2 16:00,10,2,1,0,0,3,1,8,1,0.597
RS0000054,H004,2025/11/2 16:00,7,0,1,0,0,1,4,12,1,0.495
RS0000055,H005,2025/11/2 16:00,12,0,1,1,1,2,5,3,1,0.764
RS0000056,H001,2025/11/2 20:00,9,2,1,1,1,1,4,10,1,0.778
RS0000057,H002,2025/11/2 20:00,7,7,1,1,1,4,7,11,1,0.68
RS0000058,H003,2025/11/2 20:00,10,0,1,0,1,0,2,12,1,0.728
RS0000059,H004,2025/11/2 20:00,1,2,1,0,0,2,2,19,1,0.884
RS0000060,H005,2025/11/2 20:00,9,3,1,1,0,2,4,23,1,0.838
RS0000061,H001,2025/11/3 00:00,11,8,1,1,2,5,3,8,1,0.759
RS0000062,H002,2025/11/3 00:00,11,1,1,1,1,5,4,21,1,0.556
RS0000063,H003,2025/11/3 00:00,13,0,1,0,1,5,5,20,1,0.549
RS0000064,H004,2025/11/3 00:00,2,0,1,0,0,1,4,20,1,0.827
RS0000065,H005,2025/11/3 00:00,13,6,1,0,1,7,6,18,1,0.639
RS0000066,H001,2025/11/3 04:00,15,8,1,1,3,4,3,18,1,0.743
RS0000067,H002,2025/11/3 04:00,8,5,1,1,0,4,6,19,1,0.726
RS0000068,H003,2025/11/3 04:00,13,3,1,0,1,1,7,23,1,0.487
RS0000069,H004,2025/11/3 04:00,5,1,1,0,0,2,4,15,1,0.656
RS0000070,H005,2025/11/3 04:00,4,2,1,1,1,5,5,14,1,0.968
RS0000071,H001,2025/11/3 08:00,21,5,1,1,2,8,7,20,1,0.428
RS0000072,H002,2025/11/3 08:00,10,8,1,1,0,6,7,14,1,0.601
RS0000073,H003,2025/11/3 08:00,1,5,1,0,1,5,8,10,1,1
RS0000074,H004,2025/11/3 08:00,0,0,1,0,0,1,3,15,1,0.948
RS0000075,H005,2025/11/3 08:00,18,5,1,1,1,6,4,23,1,0.45
RS0000076,H001,2025/11/3 12:00,17,5,1,1,1,5,6,16,1,0.674
RS0000077,H002,2025/11/3 12:00,13,6,1,1,0,0,3,14,1,0.663
RS0000078,H003,2025/11/3 12:00,4,4,1,0,0,1,4,16,1,0.914
RS0000079,H004,2025/11/3 12:00,4,2,1,0,0,1,3,13,1,0.899
RS0000080,H005,2025/11/3 12:00,18,3,1,1,1,2,6,23,1,0.585
RS0000081,H001,2025/11/3 16:00,9,0,0,1,2,4,2,4,1,0.712
RS0000082,H002,2025/11/3 16:00,8,5,1,1,0,2,6,7,1,0.732
RS0000083,H003,2025/11/3 16:00,9,0,1,0,0,0,2,9,1,0.77
RS0000084,H004,2025/11/3 16:00,2,0,1,0,0,3,7,15,1,0.885
RS0000085,H005,2025/11/3 16:00,9,2,1,1,1,3,7,1,1,0.722
RS0000086,H001,2025/11/3 20:00,8,8,1,1,1,5,0,9,1,0.824
RS0000087,H002,2025/11/3 20:00,8,1,1,1,1,2,1,10,1,0.674
RS0000088,H003,2025/11/3 20:00,4,0,1,0,0,4,2,21,1,0.782
RS0000089,H004,2025/11/3 20:00,6,2,1,0,1,0,5,11,1,0.586
RS0000090,H005,2025/11/3 20:00,11,6,1,1,2,3,1,9,1,0.771
RS0000091,H001,2025/11/4 00:00,8,4,1,1,1,3,1,15,1,0.723
RS0000092,H002,2025/11/4 00:00,12,2,1,1,2,0,3,12,1,0.627
RS0000093,H003,2025/11/4 00:00,9,5,1,0,0,0,2,16,1,0.587
RS0000094,H004,2025/11/4 00:00,3,0,0,0,1,0,5,18,1,0.793
RS0000095,H005,2025/11/4 00:00,15,3,1,1,3,7,3,21,1,0.571
RS0000096,H001,2025/11/4 04:00,9,8,0,1,2,6,4,12,1,0.801
RS0000097,H002,2025/11/4 04:00,19,4,1,1,2,4,4,13,1,0.354
RS0000098,H003,2025/11/4 04:00,10,2,1,0,1,0,7,12,1,0.722
RS0000099,H004,2025/11/4 04:00,4,5,1,0,1,5,6,17,1,0.657
RS0000100,H005,2025/11/4 04:00,12,7,0,0,2,3,5,12,1,0.812
RS0000101,H001,2025/11/4 08:00,14,3,1,1,2,8,3,13,1,0.573
RS0000102,H002,2025/11/4 08:00,8,6,1,1,2,2,3,10,1,0.722
RS0000103,H003,2025/11/4 08:00,5,0,1,0,0,1,6,23,1,0.872
RS0000104,H004,2025/11/4 08:00,4,3,1,0,0,1,4,25,1,0.865
RS0000105,H005,2025/11/4 08:00,19,1,1,0,1,6,7,9,1,0.443
RS0000106,H001,2025/11/4 12:00,17,6,1,1,1,5,4,18,1,0.523
RS0000107,H002,2025/11/4 12:00,9,5,1,1,1,2,8,7,1,0.839
RS0000108,H003,2025/11/4 12:00,12,3,1,0,1,0,2,8,1,0.63
RS0000109,H004,2025/11/4 12:00,7,1,1,0,1,2,0,20,1,0.698
RS0000110,H005,2025/11/4 12:00,8,3,0,1,1,1,3,16,1,0.908
RS0000111,H001,2025/11/4 16:00,14,0,1,1,0,0,2,17,1,0.67
RS0000112,H002,2025/11/4 16:00,7,3,1,1,0,2,6,18,1,0.899
RS0000113,H003,2025/11/4 16:00,1,1,1,0,0,5,3,17,1,1
RS0000114,H004,2025/11/4 16:00,3,0,1,0,1,0,4,13,1,0.744
RS0000115,H005,2025/11/4 16:00,12,1,1,1,1,4,2,10,1,0.733
RS0000116,H001,2025/11/4 20:00,8,1,1,1,0,3,1,11,1,0.835
RS0000117,H002,2025/11/4 20:00,5,0,1,1,0,4,3,11,1,0.811
RS0000118,H003,2025/11/4 20:00,5,1,1,0,2,1,4,12,1,0.939
RS0000119,H004,2025/11/4 20:00,8,2,1,0,0,2,4,6,1,0.624
RS0000120,H005,2025/11/4 20:00,16,8,1,1,0,6,1,12,1,0.52
RS0000121,H001,2025/11/5 00:00,19,3,1,1,1,10,4,4,1,0.585
RS0000122,H002,2025/11/5 00:00,11,2,1,1,0,4,7,19,1,0.656
RS0000123,H003,2025/11/5 00:00,13,3,1,0,0,2,3,18,1,0.411
RS0000124,H004,2025/11/5 00:00,8,1,1,0,1,2,5,12,1,0.589
RS0000125,H005,2025/11/5 00:00,15,12,1,1,0,6,5,9,1,0.615
RS0000126,H001,2025/11/5 04:00,18,9,1,1,0,4,3,23,1,0.556
RS0000127,H002,2025/11/5 04:00,6,5,1,1,0,5,7,18,1,0.716
RS0000128,H003,2025/11/5 04:00,10,1,1,0,0,3,5,15,1,0.652
RS0000129,H004,2025/11/5 04:00,0,5,1,0,1,3,4,24,1,0.987
RS0000130,H005,2025/11/5 04:00,10,0,1,1,2,6,4,4,1,0.773
RS0000131,H001,2025/11/5 08:00,13,7,1,1,1,5,6,19,1,0.69
RS0000132,H002,2025/11/5 08:00,7,4,1,1,2,1,6,25,1,0.84
RS0000133,H003,2025/11/5 08:00,14,4,1,0,0,5,3,18,1,0.354
RS0000134,H004,2025/11/5 08:00,0,2,1,0,1,4,4,14,1,0.991
RS0000135,H005,2025/11/5 08:00,9,12,0,1,0,10,4,17,1,0.683
RS0000136,H001,2025/11/5 12:00,11,4,1,1,3,4,3,18,1,0.705
RS0000137,H002,2025/11/5 12:00,8,6,1,1,0,4,4,20,1,0.794
RS0000138,H003,2025/11/5 12:00,9,3,1,0,2,5,4,15,1,0.621
RS0000139,H004,2025/11/5 12:00,0,0,1,0,0,0,4,11,1,1
RS0000140,H005,2025/11/5 12:00,10,1,1,1,2,2,3,8,1,0.715
RS0000141,H001,2025/11/5 16:00,5,6,1,1,0,6,1,20,1,0.869
RS0000142,H002,2025/11/5 16:00,11,5,1,1,0,2,4,16,1,0.708
RS0000143,H003,2025/11/5 16:00,11,1,1,0,0,0,3,15,1,0.618
RS0000144,H004,2025/11/5 16:00,0,1,1,0,1,0,2,17,1,0.966
RS0000145,H005,2025/11/5 16:00,10,8,0,1,0,4,2,8,1,0.805
RS0000146,H001,2025/11/5 20:00,13,6,1,1,1,8,8,8,1,0.74
RS0000147,H002,2025/11/5 20:00,0,4,1,1,1,2,6,15,1,1
RS0000148,H003,2025/11/5 20:00,6,3,1,0,2,4,1,15,1,0.698
RS0000149,H004,2025/11/5 20:00,1,1,1,0,1,2,4,10,1,0.896
RS0000150,H005,2025/11/5 20:00,13,5,1,1,1,3,4,17,1,0.797
RS0000151,H001,2025/11/6 00:00,14,0,1,1,3,4,2,16,0,0.698
RS0000152,H002,2025/11/6 00:00,9,0,1,1,0,7,7,17,1,0.716
RS0000153,H003,2025/11/6 00:00,10,6,1,0,0,1,3,14,1,0.568
RS0000154,H004,2025/11/6 00:00,0,0,1,0,0,3,7,12,1,1
RS0000155,H005,2025/11/6 00:00,10,5,1,1,1,4,3,15,0,0.717
RS0000156,H001,2025/11/6 04:00,16,8,1,1,2,4,5,12,1,0.629
RS0000157,H002,2025/11/6 04:00,9,3,1,1,0,3,3,13,1,0.624
RS0000158,H003,2025/11/6 04:00,17,4,1,0,1,2,2,13,1,0.328
RS0000159,H004,2025/11/6 04:00,0,0,1,0,1,4,5,17,1,0.924
RS0000160,H005,2025/11/6 04:00,15,8,1,1,2,5,4,8,1,0.684
RS0000161,H001,2025/11/6 08:00,14,7,1,1,2,8,5,11,0,0.721
RS0000162,H002,2025/11/6 08:00,5,3,1,1,0,4,3,17,1,0.752
RS0000163,H003,2025/11/6 08:00,11,4,1,0,0,1,7,18,1,0.564
RS0000164,H004,2025/11/6 08:00,3,2,1,0,0,0,5,16,1,0.764
RS0000165,H005,2025/11/6 08:00,14,8,1,1,2,1,4,14,1,0.6
RS0000166,H001,2025/11/6 12:00,8,4,1,1,2,3,1,18,1,0.826
RS0000167,H002,2025/11/6 12:00,7,0,1,1,0,5,0,10,1,0.812
RS0000168,H003,2025/11/6 12:00,8,2,0,0,0,0,2,12,1,0.667
RS0000169,H004,2025/11/6 12:00,4,1,1,0,0,0,7,8,1,0.868
RS0000170,H005,2025/11/6 12:00,4,0,1,1,2,2,6,14,1,1
RS0000171,H001,2025/11/6 16:00,17,4,1,0,2,7,8,10,1,0.687
RS0000172,H002,2025/11/6 16:00,0,0,1,1,2,1,5,14,1,0.932
RS0000173,H003,2025/11/6 16:00,14,0,1,0,0,0,1,15,0,0.46
RS0000174,H004,2025/11/6 16:00,5,0,1,0,0,4,1,16,1,0.765
RS0000175,H005,2025/11/6 16:00,14,2,1,1,1,3,4,12,1,0.599
RS0000176,H001,2025/11/6 20:00,4,5,1,1,2,5,6,12,1,0.912
RS0000177,H002,2025/11/6 20:00,4,1,1,1,1,4,0,12,1,0.89
RS0000178,H003,2025/11/6 20:00,8,9,1,0,0,3,3,21,1,0.649
RS0000179,H004,2025/11/6 20:00,3,2,1,0,0,0,3,12,1,0.74
RS0000180,H005,2025/11/6 20:00,15,0,1,1,0,4,2,19,1,0.712
RS0000181,H001,2025/11/7 00:00,5,5,1,1,0,5,4,25,1,0.85
RS0000182,H002,2025/11/7 00:00,9,7,1,1,0,4,5,20,1,0.604
RS0000183,H003,2025/11/7 00:00,10,4,1,0,0,0,8,25,1,0.666
RS0000184,H004,2025/11/7 00:00,11,6,1,0,0,0,1,19,1,0.283
RS0000185,H005,2025/11/7 00:00,14,5,1,1,1,7,8,19,1,0.628
RS0000186,H001,2025/11/7 04:00,14,11,1,1,2,4,5,11,1,0.703
RS0000187,H002,2025/11/7 04:00,12,1,1,1,0,4,6,8,1,0.692
RS0000188,H003,2025/11/7 04:00,9,4,1,0,1,6,6,19,1,0.677
RS0000189,H004,2025/11/7 04:00,0,3,1,0,0,0,3,14,1,1
RS0000190,H005,2025/11/7 04:00,6,10,1,1,1,6,4,16,1,0.898
RS0000191,H001,2025/11/7 08:00,15,8,1,1,1,3,5,21,1,0.595
RS0000192,H002,2025/11/7 08:00,11,2,1,1,0,7,8,18,1,0.635
RS0000193,H003,2025/11/7 08:00,14,1,1,0,0,1,5,13,1,0.359
RS0000194,H004,2025/11/7 08:00,4,0,1,0,0,1,7,13,1,0.881
RS0000195,H005,2025/11/7 08:00,11,5,1,1,3,6,0,18,1,0.656
RS0000196,H001,2025/11/7 12:00,9,2,1,1,0,2,6,5,1,0.788
RS0000197,H002,2025/11/7 12:00,6,3,1,1,0,2,0,23,1,0.776
RS0000198,H003,2025/11/7 12:00,5,0,1,0,1,1,3,21,1,0.792
RS0000199,H004,2025/11/7 12:00,8,0,1,0,0,2,2,23,1,0.548
RS0000200,H005,2025/11/7 12:00,6,6,1,1,1,5,4,4,0,0.761
RS0000201,H001,2025/11/7 16:00,15,9,1,1,1,6,1,18,1,0.779
RS0000202,H002,2025/11/7 16:00,14,2,1,1,0,3,2,12,1,0.507
RS0000203,H003,2025/11/7 16:00,8,0,1,0,0,0,3,5,1,0.677
RS0000204,H004,2025/11/7 16:00,0,0,1,0,0,0,5,23,1,1
RS0000205,H005,2025/11/7 16:00,7,7,1,1,0,3,1,14,1,0.956
RS0000206,H001,2025/11/7 20:00,10,0,1,1,1,6,3,21,1,0.741
RS0000207,H002,2025/11/7 20:00,14,5,1,1,0,2,5,7,1,0.554
RS0000208,H003,2025/11/7 20:00,4,6,1,0,1,1,0,18,1,0.963
RS0000209,H004,2025/11/7 20:00,1,1,1,0,0,0,3,7,1,1
RS0000210,H005,2025/11/7 20:00,8,3,1,1,0,3,2,16,1,0.735
RS0000211,H001,2025/11/8 00:00,9,7,1,1,2,4,2,21,1,0.847
RS0000212,H002,2025/11/8 00:00,11,4,1,1,0,3,2,12,1,0.767
RS0000213,H003,2025/11/8 00:00,9,0,1,0,1,0,6,14,1,0.632
RS0000214,H004,2025/11/8 00:00,6,3,1,0,0,3,5,15,1,0.547
RS0000215,H005,2025/11/8 00:00,16,10,1,1,1,4,4,18,1,0.484
RS0000216,H001,2025/11/8 04:00,15,8,1,0,1,5,0,18,1,0.781
RS0000217,H002,2025/11/8 04:00,11,0,1,0,0,4,5,19,1,0.623
RS0000218,H003,2025/11/8 04:00,11,0,1,0,2,5,5,17,1,0.608
RS0000219,H004,2025/11/8 04:00,3,0,1,0,0,4,7,16,1,0.896
RS0000220,H005,2025/11/8 04:00,15,7,1,1,0,6,6,20,1,0.526
RS0000221,H001,2025/11/8 08:00,17,6,1,1,0,5,5,22,1,0.713
RS0000222,H002,2025/11/8 08:00,12,0,1,1,2,0,7,24,1,0.693
RS0000223,H003,2025/11/8 08:00,7,2,1,0,0,0,3,11,1,0.79
RS0000224,H004,2025/11/8 08:00,1,4,1,0,1,0,1,18,1,0.974
RS0000225,H005,2025/11/8 08:00,12,4,1,1,1,7,4,21,1,0.774
RS0000226,H001,2025/11/8 12:00,17,9,1,1,2,3,0,11,1,0.619
RS0000227,H002,2025/11/8 12:00,8,1,1,1,1,0,3,9,1,0.759
RS0000228,H003,2025/11/8 12:00,10,0,1,0,0,5,5,6,1,0.724
RS0000229,H004,2025/11/8 12:00,4,3,0,0,0,2,6,14,1,0.878
RS0000230,H005,2025/11/8 12:00,9,3,1,1,0,3,6,24,1,0.898
RS0000231,H001,2025/11/8 16:00,5,2,1,1,1,7,4,7,1,1
RS0000232,H002,2025/11/8 16:00,7,1,1,1,0,4,0,22,1,0.784
RS0000233,H003,2025/11/8 16:00,3,2,1,0,0,2,5,15,1,0.797
RS0000234,H004,2025/11/8 16:00,2,3,1,0,0,0,4,14,1,0.876
RS0000235,H005,2025/11/8 16:00,17,6,1,1,1,2,1,26,1,0.521
RS0000236,H001,2025/11/8 20:00,7,3,1,1,1,3,1,12,1,0.831
RS0000237,H002,2025/11/8 20:00,7,3,1,1,0,1,3,13,1,0.682
RS0000238,H003,2025/11/8 20:00,6,4,1,0,0,2,2,21,1,0.736
RS0000239,H004,2025/11/8 20:00,4,3,1,0,0,0,0,11,1,0.748
RS0000240,H005,2025/11/8 20:00,10,2,1,1,1,1,5,11,1,0.74
RS0000241,H001,2025/11/9 00:00,11,10,1,1,1,7,6,12,1,0.679
RS0000242,H002,2025/11/9 00:00,5,1,1,1,1,5,1,5,1,0.934
RS0000243,H003,2025/11/9 00:00,5,0,1,0,0,2,5,14,1,0.875
RS0000244,H004,2025/11/9 00:00,0,3,1,0,1,0,8,21,1,0.969
RS0000245,H005,2025/11/9 00:00,9,3,1,1,1,6,6,7,1,0.701
RS0000246,H001,2025/11/9 04:00,17,3,1,1,2,5,3,15,1,0.657
RS0000247,H002,2025/11/9 04:00,16,5,1,1,0,3,2,11,1,0.429
RS0000248,H003,2025/11/9 04:00,10,1,1,0,0,4,6,14,1,0.588
RS0000249,H004,2025/11/9 04:00,7,6,1,0,0,0,4,19,1,0.565
RS0000250,H005,2025/11/9 04:00,10,3,1,1,1,5,7,14,1,0.757
RS0000251,H001,2025/11/9 08:00,4,6,1,1,1,5,3,10,1,0.965
RS0000252,H002,2025/11/9 08:00,2,9,1,1,0,0,7,19,1,0.844
RS0000253,H003,2025/11/9 08:00,12,0,1,0,1,4,4,15,0,0.49
RS0000254,H004,2025/11/9 08:00,0,2,1,0,0,4,2,16,1,0.933
RS0000255,H005,2025/11/9 08:00,13,4,1,1,2,3,3,15,1,0.574
RS0000256,H001,2025/11/9 12:00,10,5,1,1,0,6,2,7,1,0.722
RS0000257,H002,2025/11/9 12:00,0,6,1,1,1,0,1,11,1,1
RS0000258,H003,2025/11/9 12:00,12,0,1,0,0,0,2,17,1,0.454
RS0000259,H004,2025/11/9 12:00,2,0,1,0,1,0,1,11,1,0.936
RS0000260,H005,2025/11/9 12:00,14,1,1,1,1,2,4,16,1,0.768
RS0000261,H001,2025/11/9 16:00,9,6,1,1,0,5,4,21,1,0.807
RS0000262,H002,2025/11/9 16:00,10,5,1,1,0,4,5,13,1,0.689
RS0000263,H003,2025/11/9 16:00,7,3,0,0,1,3,3,15,1,0.613
RS0000264,H004,2025/11/9 16:00,2,0,1,0,0,1,5,9,1,0.83
RS0000265,H005,2025/11/9 16:00,14,0,1,1,2,4,4,15,0,0.698
RS0000266,H001,2025/11/9 20:00,17,0,1,1,0,5,3,15,1,0.523
RS0000267,H002,2025/11/9 20:00,5,3,1,1,0,6,3,6,1,0.785
RS0000268,H003,2025/11/9 20:00,6,4,1,0,0,1,1,11,1,0.873
RS0000269,H004,2025/11/9 20:00,0,0,1,0,0,2,4,18,1,0.981
RS0000270,H005,2025/11/9 20:00,10,0,1,1,1,8,4,13,0,0.805
RS0000271,H001,2025/11/10 00:00,11,8,1,1,1,5,4,23,1,0.771
RS0000272,H002,2025/11/10 00:00,11,1,1,1,0,0,2,8,1,0.589
RS0000273,H003,2025/11/10 00:00,8,0,1,0,0,4,9,22,1,0.784
RS0000274,H004,2025/11/10 00:00,2,2,1,0,0,5,7,11,1,0.927
RS0000275,H005,2025/11/10 00:00,17,5,1,1,0,4,7,23,1,0.692
RS0000276,H001,2025/11/10 04:00,14,8,1,1,1,3,6,14,1,0.806
RS0000277,H002,2025/11/10 04:00,3,3,1,1,0,2,7,20,0,0.845
RS0000278,H003,2025/11/10 04:00,10,0,1,0,0,6,4,22,1,0.495
RS0000279,H004,2025/11/10 04:00,0,0,1,0,0,2,6,23,1,1
RS0000280,H005,2025/11/10 04:00,20,0,1,1,2,9,7,20,1,0.541
RS0000281,H001,2025/11/10 08:00,12,8,1,1,2,3,5,27,1,0.745
RS0000282,H002,2025/11/10 08:00,17,1,1,1,2,2,2,17,1,0.496
RS0000283,H003,2025/11/10 08:00,13,0,1,0,0,3,9,11,1,0.469
RS0000284,H004,2025/11/10 08:00,9,5,1,0,0,1,7,17,1,0.484
RS0000285,H005,2025/11/10 08:00,18,0,1,1,2,7,4,18,1,0.571
RS0000286,H001,2025/11/10 12:00,12,8,0,1,2,8,3,10,1,0.817
RS0000287,H002,2025/11/10 12:00,11,3,1,1,0,3,3,11,1,0.657
RS0000288,H003,2025/11/10 12:00,11,2,1,0,0,3,3,14,1,0.549
RS0000289,H004,2025/11/10 12:00,6,0,1,0,0,1,4,15,1,0.636
RS0000290,H005,2025/11/10 12:00,8,1,1,1,0,2,0,8,1,0.938
RS0000291,H001,2025/11/10 16:00,16,0,1,1,0,5,4,16,1,0.56
RS0000292,H002,2025/11/10 16:00,10,9,1,1,0,0,5,25,1,0.706
RS0000293,H003,2025/11/10 16:00,4,0,1,0,1,1,2,21,1,0.907
RS0000294,H004,2025/11/10 16:00,0,6,1,0,0,3,6,8,1,1
RS0000295,H005,2025/11/10 16:00,17,11,1,1,2,5,3,17,1,0.573
RS0000296,H001,2025/11/10 20:00,12,0,1,1,2,1,1,11,1,0.777
RS0000297,H002,2025/11/10 20:00,7,0,0,1,2,2,3,22,1,0.857
RS0000298,H003,2025/11/10 20:00,3,5,1,0,1,0,3,4,1,0.832
RS0000299,H004,2025/11/10 20:00,1,0,1,0,0,2,2,7,1,1
RS0000300,H005,2025/11/10 20:00,15,4,1,1,1,6,0,17,1,0.605
RS0000301,H001,2025/11/11 00:00,19,9,1,1,0,3,7,18,1,0.574
RS0000302,H002,2025/11/11 00:00,11,4,1,1,0,5,3,11,1,0.574
RS0000303,H003,2025/11/11 00:00,9,4,1,0,2,1,0,17,1,0.62
RS0000304,H004,2025/11/11 00:00,0,5,1,0,1,3,0,18,1,1
RS0000305,H005,2025/11/11 00:00,18,1,1,1,0,4,7,14,1,0.486
RS0000306,H001,2025/11/11 04:00,12,7,1,1,0,4,8,31,1,0.705
RS0000307,H002,2025/11/11 04:00,11,0,1,1,0,2,5,18,1,0.671
RS0000308,H003,2025/11/11 04:00,9,3,1,0,0,0,5,16,1,0.678
RS0000309,H004,2025/11/11 04:00,8,1,1,0,0,5,5,22,1,0.429
RS0000310,H005,2025/11/11 04:00,13,2,1,1,3,3,1,15,1,0.609
RS0000311,H001,2025/11/11 08:00,2,8,1,1,0,6,0,9,1,0.941
RS0000312,H002,2025/11/11 08:00,19,0,1,1,0,4,3,19,1,0.445
RS0000313,H003,2025/11/11 08:00,6,0,1,0,0,0,5,10,1,0.84
RS0000314,H004,2025/11/11 08:00,2,0,1,0,1,1,5,19,1,0.964
RS0000315,H005,2025/11/11 08:00,15,9,1,1,2,5,2,21,1,0.683
RS0000316,H001,2025/11/11 12:00,18,1,1,1,2,3,4,16,1,0.649
RS0000317,H002,2025/11/11 12:00,11,0,1,1,0,3,6,16,1,0.772
RS0000318,H003,2025/11/11 12:00,3,0,1,0,0,4,5,4,1,0.927
RS0000319,H004,2025/11/11 12:00,4,1,1,0,0,4,4,12,1,0.777
RS0000320,H005,2025/11/11 12:00,10,5,1,1,1,6,2,13,1,0.77
RS0000321,H001,2025/11/11 16:00,7,4,1,1,1,6,7,14,1,0.84
RS0000322,H002,2025/11/11 16:00,11,2,1,1,1,3,4,17,1,0.58
RS0000323,H003,2025/11/11 16:00,6,1,1,0,0,3,6,5,1,0.827
RS0000324,H004,2025/11/11 16:00,8,0,1,0,0,1,4,12,1,0.522
RS0000325,H005,2025/11/11 16:00,18,0,1,1,2,2,6,21,1,0.62
RS0000326,H001,2025/11/11 20:00,3,7,1,1,1,9,4,18,1,0.882
RS0000327,H002,2025/11/11 20:00,7,1,1,1,0,1,6,14,1,0.8
RS0000328,H003,2025/11/11 20:00,9,4,1,0,0,1,4,18,1,0.621
RS0000329,H004,2025/11/11 20:00,7,0,1,0,0,0,6,22,1,0.542
