shift_id,hospital_id,specialty,clinician_id,shift_label,shift_start,shift_end,on_call
SH000106,H001,急診,C0001,夜班,2025/11/2 00:00,2025/11/2 08:00,0
SH000107,H001,急診,C0002,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000108,H001,急診,C0001,小夜班,2025/11/2 16:00,2025/11/3 00:00,0
SH000109,H001,心臟內科,C0004,夜班,2025/11/2 00:00,2025/11/2 08:00,1
SH000110,H001,心臟內科,C0006,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000111,H001,心臟內科,C0004,小夜班,2025/11/2 16:00,2025/11/3 00:00,1
SH000112,H001,神經內科,C0009,夜班,2025/11/2 00:00,2025/11/2 08:00,1
SH000113,H001,神經內科,C0009,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000114,H001,神經內科,C0007,小夜班,2025/11/2 16:00,2025/11/3 00:00,1
SH000115,H001,外傷外科,C0010,夜班,2025/11/2 00:00,2025/11/2 08:00,1
SH000116,H001,外傷外科,C0010,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000117,H001,外傷外科,C0012,小夜班,2025/11/2 16:00,2025/11/3 00:00,1
SH000118,H001,加護醫學,C0013,夜班,2025/11/2 00:00,2025/11/2 08:00,0
SH000119,H001,加護醫學,C0015,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000120,H001,加護醫學,C0013,小夜班,2025/11/2 16:00,2025/11/3 00:00,0
SH000121,H001,放射科,C0018,夜班,2025/11/2 00:00,2025/11/2 08:00,0
SH000122,H001,放射科,C0016,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000123,H001,放射科,C0017,小夜班,2025/11/2 16:00,2025/11/3 00:00,0
SH000124,H001,護理組長,C0020,夜班,2025/11/2 00:00,2025/11/2 08:00,0
SH000125,H001,護理組長,C0020,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000126,H001,護理組長,C0020,小夜班,2025/11/2 16:00,2025/11/3 00:00,0
SH000127,H002,急診,C0023,夜班,2025/11/2 00:00,2025/11/2 08:00,0
SH000128,H002,急診,C0022,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000129,H002,急診,C0023,小夜班,2025/11/2 16:00,2025/11/3 00:00,0
SH000130,H002,心臟內科,C0025,夜班,2025/11/2 00:00,2025/11/2 08:00,1
SH000131,H002,心臟內科,C0024,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000132,H002,心臟內科,C0024,小夜班,2025/11/2 16:00,2025/11/3 00:00,1
SH000133,H002,神經內科,C0027,夜班,2025/11/2 00:00,2025/11/2 08:00,1
SH000134,H002,神經內科,C0026,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000135,H002,神經內科,C0026,小夜班,2025/11/2 16:00,2025/11/3 00:00,1
SH000136,H002,外傷外科,C0029,夜班,2025/11/2 00:00,2025/11/2 08:00,1
SH000137,H002,外傷外科,C0029,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000138,H002,外傷外科,C0028,小夜班,2025/11/2 16:00,2025/11/3 00:00,1
SH000139,H002,加護醫學,C0031,夜班,2025/11/2 00:00,2025/11/2 08:00,0
SH000140,H002,加護醫學,C0031,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000141,H002,加護醫學,C0031,小夜班,2025/11/2 16:00,2025/11/3 00:00,0
SH000142,H002,放射科,C0032,夜班,2025/11/2 00:00,2025/11/2 08:00,0
SH000143,H002,放射科,C0033,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000144,H002,放射科,C0033,小夜班,2025/11/2 16:00,2025/11/3 00:00,0
SH000145,H002,護理組長,C0035,夜班,2025/11/2 00:00,2025/11/2 08:00,0
SH000146,H002,護理組長,C0034,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000147,H002,護理組長,C0034,小夜班,2025/11/2 16:00,2025/11/3 00:00,0
SH000148,H003,急診,C0037,夜班,2025/11/2 00:00,2025/11/2 08:00,0
SH000149,H003,急診,C0037,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000150,H003,急診,C0036,小夜班,2025/11/2 16:00,2025/11/3 00:00,0
SH000151,H003,心臟內科,C0039,夜班,2025/11/2 00:00,2025/11/2 08:00,1
SH000152,H003,心臟內科,C0039,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000153,H003,心臟內科,C0039,小夜班,2025/11/2 16:00,2025/11/3 00:00,1
SH000154,H003,神經內科,C0040,夜班,2025/11/2 00:00,2025/11/2 08:00,1
SH000155,H003,神經內科,C0040,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000156,H003,神經內科,C0040,小夜班,2025/11/2 16:00,2025/11/3 00:00,1
SH000157,H003,外傷外科,C0042,夜班,2025/11/2 00:00,2025/11/2 08:00,1
SH000158,H003,外傷外科,C0042,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000159,H003,外傷外科,C0042,小夜班,2025/11/2 16:00,2025/11/3 00:00,1
SH000160,H003,加護醫學,C0045,夜班,2025/11/2 00:00,2025/11/2 08:00,0
SH000161,H003,加護醫學,C0044,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000162,H003,加護醫學,C0044,小夜班,2025/11/2 16:00,2025/11/3 00:00,0
SH000163,H003,放射科,C0047,夜班,2025/11/2 00:00,2025/11/2 08:00,0
SH000164,H003,放射科,C0046,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000165,H003,放射科,C0047,小夜班,2025/11/2 16:00,2025/11/3 00:00,0
SH000166,H003,護理組長,C0049,夜班,2025/11/2 00:00,2025/11/2 08:00,0
SH000167,H003,護理組長,C0049,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000168,H003,護理組長,C0048,小夜班,2025/11/2 16:00,2025/11/3 00:00,0
SH000169,H004,急診,C0051,夜班,2025/11/2 00:00,2025/11/2 08:00,0
SH000170,H004,急診,C0050,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000171,H004,急診,C0050,小夜班,2025/11/2 16:00,2025/11/3 00:00,0
SH000172,H004,心臟內科,C0053,夜班,2025/11/2 00:00,2025/11/2 08:00,1
SH000173,H004,心臟內科,C0052,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000174,H004,心臟內科,C0053,小夜班,2025/11/2 16:00,2025/11/3 00:00,1
SH000175,H004,神經內科,C0054,夜班,2025/11/2 00:00,2025/11/2 08:00,1
SH000176,H004,神經內科,C0054,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000177,H004,神經內科,C0054,小夜班,2025/11/2 16:00,2025/11/3 00:00,1
SH000178,H004,外傷外科,C0056,夜班,2025/11/2 00:00,2025/11/2 08:00,1
SH000179,H004,外傷外科,C0057,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000180,H004,外傷外科,C0057,小夜班,2025/11/2 16:00,2025/11/3 00:00,1
SH000181,H004,加護醫學,C0058,夜班,2025/11/2 00:00,2025/11/2 08:00,0
SH000182,H004,加護醫學,C0058,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000183,H004,加護醫學,C0059,小夜班,2025/11/2 16:00,2025/11/3 00:00,0
SH000184,H004,放射科,C0061,夜班,2025/11/2 00:00,2025/11/2 08:00,0
SH000185,H004,放射科,C0060,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000186,H004,放射科,C0061,小夜班,2025/11/2 16:00,2025/11/3 00:00,0
SH000187,H004,護理組長,C0063,夜班,2025/11/2 00:00,2025/11/2 08:00,0
SH000188,H004,護理組長,C0062,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000189,H004,護理組長,C0063,小夜班,2025/11/2 16:00,2025/11/3 00:00,0
SH000190,H005,急診,C0064,夜班,2025/11/2 00:00,2025/11/2 08:00,0
SH000191,H005,急診,C0065,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000192,H005,急診,C0066,小夜班,2025/11/2 16:00,2025/11/3 00:00,0
SH000193,H005,心臟內科,C0069,夜班,2025/11/2 00:00,2025/11/2 08:00,1
SH000194,H005,心臟內科,C0067,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000195,H005,心臟內科,C0069,小夜班,2025/11/2 16:00,2025/11/3 00:00,1
SH000196,H005,神經內科,C0072,夜班,2025/11/2 00:00,2025/11/2 08:00,1
SH000197,H005,神經內科,C0070,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000198,H005,神經內科,C0071,小夜班,2025/11/2 16:00,2025/11/3 00:00,1
SH000199,H005,外傷外科,C0073,夜班,2025/11/2 00:00,2025/11/2 08:00,1
SH000200,H005,外傷外科,C0073,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000201,H005,外傷外科,C0074,小夜班,2025/11/2 16:00,2025/11/3 00:00,1
SH000202,H005,加護醫學,C0077,夜班,2025/11/2 00:00,2025/11/2 08:00,0
SH000203,H005,加護醫學,C0076,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000204,H005,加護醫學,C0077,小夜班,2025/11/2 16:00,2025/11/3 00:00,0
SH000205,H005,放射科,C0080,夜班,2025/11/2 00:00,2025/11/2 08:00,0
SH000206,H005,放射科,C0081,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000207,H005,放射科,C0079,小夜班,2025/11/2 16:00,2025/11/3 00:00,0
SH000208,H005,護理組長,C0083,夜班,2025/11/2 00:00,2025/11/2 08:00,0
SH000209,H005,護理組長,C0082,日班,2025/11/2 08:00,2025/11/2 16:00,0
SH000210,H005,護理組長,C0082,小夜班,2025/11/2 16:00,2025/11/3 00:00,0
SH000211,H001,急診,C0003,夜班,2025/11/3 00:00,2025/11/3 08:00,0
SH000212,H001,急診,C0002,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000213,H001,急診,C0002,小夜班,2025/11/3 16:00,2025/11/4 00:00,0
SH000214,H001,心臟內科,C0006,夜班,2025/11/3 00:00,2025/11/3 08:00,1
SH000215,H001,心臟內科,C0005,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000216,H001,心臟內科,C0004,小夜班,2025/11/3 16:00,2025/11/4 00:00,1
SH000217,H001,神經內科,C0008,夜班,2025/11/3 00:00,2025/11/3 08:00,1
SH000218,H001,神經內科,C0009,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000219,H001,神經內科,C0009,小夜班,2025/11/3 16:00,2025/11/4 00:00,1
SH000220,H001,外傷外科,C0010,夜班,2025/11/3 00:00,2025/11/3 08:00,1
SH000221,H001,外傷外科,C0011,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000222,H001,外傷外科,C0012,小夜班,2025/11/3 16:00,2025/11/4 00:00,1
SH000223,H001,加護醫學,C0015,夜班,2025/11/3 00:00,2025/11/3 08:00,0
SH000224,H001,加護醫學,C0013,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000225,H001,加護醫學,C0013,小夜班,2025/11/3 16:00,2025/11/4 00:00,0
SH000226,H001,放射科,C0017,夜班,2025/11/3 00:00,2025/11/3 08:00,0
SH000227,H001,放射科,C0016,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000228,H001,放射科,C0016,小夜班,2025/11/3 16:00,2025/11/4 00:00,0
SH000229,H001,護理組長,C0021,夜班,2025/11/3 00:00,2025/11/3 08:00,0
SH000230,H001,護理組長,C0020,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000231,H001,護理組長,C0020,小夜班,2025/11/3 16:00,2025/11/4 00:00,0
SH000232,H002,急診,C0022,夜班,2025/11/3 00:00,2025/11/3 08:00,0
SH000233,H002,急診,C0023,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000234,H002,急診,C0023,小夜班,2025/11/3 16:00,2025/11/4 00:00,0
SH000235,H002,心臟內科,C0024,夜班,2025/11/3 00:00,2025/11/3 08:00,1
SH000236,H002,心臟內科,C0025,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000237,H002,心臟內科,C0025,小夜班,2025/11/3 16:00,2025/11/4 00:00,1
SH000238,H002,神經內科,C0026,夜班,2025/11/3 00:00,2025/11/3 08:00,1
SH000239,H002,神經內科,C0027,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000240,H002,神經內科,C0027,小夜班,2025/11/3 16:00,2025/11/4 00:00,1
SH000241,H002,外傷外科,C0028,夜班,2025/11/3 00:00,2025/11/3 08:00,1
SH000242,H002,外傷外科,C0029,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000243,H002,外傷外科,C0028,小夜班,2025/11/3 16:00,2025/11/4 00:00,1
SH000244,H002,加護醫學,C0030,夜班,2025/11/3 00:00,2025/11/3 08:00,0
SH000245,H002,加護醫學,C0031,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000246,H002,加護醫學,C0031,小夜班,2025/11/3 16:00,2025/11/4 00:00,0
SH000247,H002,放射科,C0032,夜班,2025/11/3 00:00,2025/11/3 08:00,0
SH000248,H002,放射科,C0032,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000249,H002,放射科,C0032,小夜班,2025/11/3 16:00,2025/11/4 00:00,0
SH000250,H002,護理組長,C0034,夜班,2025/11/3 00:00,2025/11/3 08:00,0
SH000251,H002,護理組長,C0035,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000252,H002,護理組長,C0034,小夜班,2025/11/3 16:00,2025/11/4 00:00,0
SH000253,H003,急診,C0037,夜班,2025/11/3 00:00,2025/11/3 08:00,0
SH000254,H003,急診,C0036,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000255,H003,急診,C0037,小夜班,2025/11/3 16:00,2025/11/4 00:00,0
SH000256,H003,心臟內科,C0038,夜班,2025/11/3 00:00,2025/11/3 08:00,1
SH000257,H003,心臟內科,C0038,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000258,H003,心臟內科,C0038,小夜班,2025/11/3 16:00,2025/11/4 00:00,1
SH000259,H003,神經內科,C0041,夜班,2025/11/3 00:00,2025/11/3 08:00,1
SH000260,H003,神經內科,C0040,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000261,H003,神經內科,C0040,小夜班,2025/11/3 16:00,2025/11/4 00:00,1
SH000262,H003,外傷外科,C0042,夜班,2025/11/3 00:00,2025/11/3 08:00,1
SH000263,H003,外傷外科,C0043,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000264,H003,外傷外科,C0042,小夜班,2025/11/3 16:00,2025/11/4 00:00,1
SH000265,H003,加護醫學,C0044,夜班,2025/11/3 00:00,2025/11/3 08:00,0
SH000266,H003,加護醫學,C0045,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000267,H003,加護醫學,C0044,小夜班,2025/11/3 16:00,2025/11/4 00:00,0
SH000268,H003,放射科,C0047,夜班,2025/11/3 00:00,2025/11/3 08:00,0
SH000269,H003,放射科,C0047,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000270,H003,放射科,C0047,小夜班,2025/11/3 16:00,2025/11/4 00:00,0
SH000271,H003,護理組長,C0049,夜班,2025/11/3 00:00,2025/11/3 08:00,0
SH000272,H003,護理組長,C0049,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000273,H003,護理組長,C0048,小夜班,2025/11/3 16:00,2025/11/4 00:00,0
SH000274,H004,急診,C0050,夜班,2025/11/3 00:00,2025/11/3 08:00,0
SH000275,H004,急診,C0050,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000276,H004,急診,C0050,小夜班,2025/11/3 16:00,2025/11/4 00:00,0
SH000277,H004,心臟內科,C0052,夜班,2025/11/3 00:00,2025/11/3 08:00,1
SH000278,H004,心臟內科,C0053,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000279,H004,心臟內科,C0053,小夜班,2025/11/3 16:00,2025/11/4 00:00,1
SH000280,H004,神經內科,C0055,夜班,2025/11/3 00:00,2025/11/3 08:00,1
SH000281,H004,神經內科,C0055,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000282,H004,神經內科,C0054,小夜班,2025/11/3 16:00,2025/11/4 00:00,1
SH000283,H004,外傷外科,C0056,夜班,2025/11/3 00:00,2025/11/3 08:00,1
SH000284,H004,外傷外科,C0056,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000285,H004,外傷外科,C0057,小夜班,2025/11/3 16:00,2025/11/4 00:00,1
SH000286,H004,加護醫學,C0058,夜班,2025/11/3 00:00,2025/11/3 08:00,0
SH000287,H004,加護醫學,C0059,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000288,H004,加護醫學,C0058,小夜班,2025/11/3 16:00,2025/11/4 00:00,0
SH000289,H004,放射科,C0060,夜班,2025/11/3 00:00,2025/11/3 08:00,0
SH000290,H004,放射科,C0060,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000291,H004,放射科,C0060,小夜班,2025/11/3 16:00,2025/11/4 00:00,0
SH000292,H004,護理組長,C0062,夜班,2025/11/3 00:00,2025/11/3 08:00,0
SH000293,H004,護理組長,C0062,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000294,H004,護理組長,C0063,小夜班,2025/11/3 16:00,2025/11/4 00:00,0
SH000295,H005,急診,C0064,夜班,2025/11/3 00:00,2025/11/3 08:00,0
SH000296,H005,急診,C0066,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000297,H005,急診,C0064,小夜班,2025/11/3 16:00,2025/11/4 00:00,0
SH000298,H005,心臟內科,C0069,夜班,2025/11/3 00:00,2025/11/3 08:00,1
SH000299,H005,心臟內科,C0068,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000300,H005,心臟內科,C0068,小夜班,2025/11/3 16:00,2025/11/4 00:00,1
SH000301,H005,神經內科,C0070,夜班,2025/11/3 00:00,2025/11/3 08:00,1
SH000302,H005,神經內科,C0070,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000303,H005,神經內科,C0070,小夜班,2025/11/3 16:00,2025/11/4 00:00,1
SH000304,H005,外傷外科,C0075,夜班,2025/11/3 00:00,2025/11/3 08:00,1
SH000305,H005,外傷外科,C0073,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000306,H005,外傷外科,C0075,小夜班,2025/11/3 16:00,2025/11/4 00:00,1
SH000307,H005,加護醫學,C0076,夜班,2025/11/3 00:00,2025/11/3 08:00,0
SH000308,H005,加護醫學,C0077,日班,2025/11/3 08:00,2025/11/3 16:00,0
SH000309,H005,加護醫學,C0077,小夜班,2025/11/3 16:00,2025/11/4 00:00,0
